time,tweets
2019-09-13 01:45:45,18
2019-09-13 01:45:46,22
2019-09-13 01:45:47,23
2019-09-13 01:45:48,2
2019-09-13 01:45:49,5
2019-09-13 01:45:50,34
2019-09-13 01:45:51,24
2019-09-13 01:45:52,29
2019-09-13 01:45:53,11
2019-09-13 01:45:54,26
2019-09-13 01:45:55,21
2019-09-13 01:45:56,27
2019-09-13 01:45:57,40
2019-09-13 01:45:58,23
2019-09-13 01:45:59,33
2019-09-13 01:46:00,18
2019-09-13 01:46:01,4
2019-09-13 01:46:02,15
2019-09-13 01:46:03,29
2019-09-13 01:46:04,38
2019-09-13 01:46:05,21
2019-09-13 01:46:06,17
2019-09-13 01:46:08,22
2019-09-13 01:46:09,25
2019-09-13 01:46:10,19
2019-09-13 01:46:11,6
2019-09-13 01:46:12,21
2019-09-13 01:46:13,40
2019-09-13 01:46:14,30
2019-09-13 01:46:15,15
2019-09-13 01:46:16,9
2019-09-13 01:46:17,23
2019-09-13 01:46:18,1
2019-09-13 01:46:19,24
2019-09-13 01:46:20,10
2019-09-13 01:46:21,6
2019-09-13 01:46:22,14
2019-09-13 01:46:23,10
2019-09-13 01:46:24,35
2019-09-13 01:46:25,20
2019-09-13 01:46:26,22
2019-09-13 01:46:27,27
2019-09-13 01:46:28,18
2019-09-13 01:46:29,37
2019-09-13 01:46:30,7
2019-09-13 01:46:31,4
2019-09-13 01:46:32,13
2019-09-13 01:46:33,13
2019-09-13 01:46:34,27
2019-09-13 01:46:35,12
2019-09-13 01:46:36,10
2019-09-13 01:46:37,21
2019-09-13 01:46:38,23
2019-09-13 01:46:39,25
2019-09-13 01:46:40,22
2019-09-13 01:46:41,12
2019-09-13 01:46:42,14
2019-09-13 01:46:43,6
2019-09-13 01:46:44,18
2019-09-13 01:46:45,19
2019-09-13 01:46:46,18
2019-09-13 01:46:47,14
2019-09-13 01:46:48,12
2019-09-13 01:46:49,17
2019-09-13 01:46:50,30
2019-09-13 01:46:51,23
2019-09-13 01:46:52,14
2019-09-13 01:46:53,16
2019-09-13 01:46:54,26
2019-09-13 01:46:55,20
2019-09-13 01:46:57,18
2019-09-13 01:46:58,29
2019-09-13 01:46:59,14
2019-09-13 01:47:00,37
2019-09-13 01:47:01,19
2019-09-13 01:47:02,3
2019-09-13 01:47:03,15
2019-09-13 01:47:04,12
2019-09-13 01:47:05,22
2019-09-13 01:47:06,23
2019-09-13 01:47:07,8
2019-09-13 01:47:08,17
2019-09-13 01:47:09,16
2019-09-13 01:47:10,18
2019-09-13 01:47:11,21
2019-09-13 01:47:12,18
2019-09-13 01:47:13,16
2019-09-13 01:47:14,9
2019-09-13 01:47:15,27
2019-09-13 01:47:16,28
2019-09-13 01:47:17,17
2019-09-13 01:47:18,8
2019-09-13 01:47:19,22
2019-09-13 01:47:20,16
2019-09-13 01:47:21,13
2019-09-13 01:47:22,7
2019-09-13 01:47:23,10
2019-09-13 01:47:24,30
2019-09-13 01:47:25,8
2019-09-13 01:47:26,25
2019-09-13 01:47:27,20
2019-09-13 01:47:28,33
2019-09-13 01:47:29,24
2019-09-13 01:47:30,9
2019-09-13 01:47:31,12
2019-09-13 01:47:32,20
2019-09-13 01:47:33,21
2019-09-13 01:47:34,37
2019-09-13 01:47:35,25
2019-09-13 01:47:36,9
2019-09-13 01:47:37,17
2019-09-13 01:47:38,7
2019-09-13 01:47:39,20
2019-09-13 01:47:40,23
2019-09-13 01:47:41,11
2019-09-13 01:47:42,20
2019-09-13 01:47:43,1
2019-09-13 01:47:44,4
2019-09-13 01:47:45,12
2019-09-13 01:47:46,17
2019-09-13 01:47:47,20
2019-09-13 01:47:48,14
2019-09-13 01:47:49,15
2019-09-13 01:47:50,12
2019-09-13 01:47:51,13
2019-09-13 01:47:52,11
2019-09-13 01:47:53,16
2019-09-13 01:47:54,20
2019-09-13 01:47:55,9
2019-09-13 01:47:56,23
2019-09-13 01:47:57,17
